Frame, Timestamp, Render Stars, Tonemapping, User Interface
399, 1781787696827750865, 6096, 288, 339
400, 1781787696833325907, 5172, 288, 78
401, 1781787696839762771, 5172, 471, 765
402, 1781787696845940663, 5502, 291, 279
403, 1781787696851576733, 5168, 287, 78
404, 1781787696858729817, 5777, 619, 418
405, 1781787696864703525, 5014, 290, 288
406, 1781787696870475160, 5006, 285, 365
407, 1781787696877381481, 6206, 289, 340
408, 1781787696883014517, 5164, 291, 16
409, 1781787696889319866, 5171, 468, 623
410, 1781787696895678129, 5619, 288, 338
411, 1781787696901283557, 5165, 290, 88
412, 1781787696908201301, 5508, 687, 491
413, 1781787696914186530, 5165, 288, 283
414, 1781787696920111034, 5167, 288, 368
415, 1781787696926975864, 6173, 292, 337
416, 1781787696932618015, 5171, 292, 16
417, 1781787696938939549, 5170, 480, 419
418, 1781787696945193814, 5505, 289, 337
419, 1781787696950814811, 5166, 291, 80
420, 1781787696957500398, 5386, 644, 527
421, 1781787696963535015, 5179, 287, 290
422, 1781787696969453180, 5164, 290, 356
423, 1781787696976460027, 6161, 410, 349
424, 1781787696982109218, 5166, 289, 15
425, 1781787696988190251, 5169, 289, 516
426, 1781787696994828084, 5859, 289, 352
427, 1781787697000386774, 5172, 290, 82
428, 1781787697007120915, 5394, 652, 540
429, 1781787697012876419, 5176, 287, 279
430, 1781787697018484264, 5181, 292, 81
431, 1781787697025632790, 5742, 678, 411
432, 1781787697031596596, 5158, 288, 289
433, 1781787697037487530, 5167, 290, 361
434, 1781787697044328259, 6109, 287, 350
435, 1781787697049926217, 5162, 288, 86
436, 1781787697056376426, 5166, 475, 745
437, 1781787697062558491, 5506, 288, 289
438, 1781787697068360645, 5166, 289, 86
439, 1781787697075534957, 5807, 675, 412
440, 1781787697081427361, 5013, 290, 279
441, 1781787697087367705, 5015, 287, 351
442, 1781787697094206093, 6075, 287, 336
443, 1781787697099799238, 5161, 290, 79
444, 1781787697106123378, 5165, 472, 672
445, 1781787697112491707, 5677, 290, 291
446, 1781787697118130864, 5171, 288, 78
447, 1781787697125277911, 5793, 617, 413
448, 1781787697131205597, 5014, 288, 290
