Frame, Timestamp, Render Stars, Tonemapping, User Interface
456, 1781787697180616084, 2061, 289, 17
457, 1781787697186266679, 2322, 292, 355
458, 1781787697193528658, 2162, 291, 356
459, 1781787697199536791, 1896, 290, 16
460, 1781787697205730562, 1884, 291, 17
461, 1781787697212251908, 2138, 292, 16
462, 1781787697217905103, 2067, 289, 13
463, 1781787697224755234, 2250, 291, 81
464, 1781787697230674771, 2199, 292, 348
465, 1781787697236533474, 2157, 291, 280
466, 1781787697243374242, 1879, 292, 17
467, 1781787697249043765, 2090, 290, 18
468, 1781787697255121892, 1907, 291, 16
469, 1781787697262054323, 2249, 291, 16
470, 1781787697267671559, 2051, 291, 76
471, 1781787697274450959, 2178, 290, 339
472, 1781787697280177719, 2109, 291, 280
473, 1781787697285813028, 1872, 290, 17
474, 1781787697292982722, 2115, 292, 16
475, 1781787697299022353, 1970, 290, 17
476, 1781787697304942655, 2039, 293, 76
477, 1781787697311953040, 2171, 290, 349
478, 1781787697317577637, 2119, 290, 283
479, 1781787697324268911, 1877, 291, 16
480, 1781787697330079926, 2162, 292, 16
481, 1781787697335710513, 1870, 291, 16
482, 1781787697342940619, 2263, 289, 173
483, 1781787697348921562, 2329, 293, 339
484, 1781787697354800666, 2172, 292, 284
485, 1781787697361451558, 1890, 289, 17
486, 1781787697367103454, 1972, 330, 17
487, 1781787697373796574, 2068, 292, 16
488, 1781787697379816748, 1964, 288, 17
489, 1781787697385736980, 2217, 294, 78
490, 1781787697392639736, 2174, 289, 356
491, 1781787697398312970, 2123, 291, 286
492, 1781787697404410891, 1877, 291, 17
493, 1781787697411311514, 2118, 290, 16
494, 1781787697416965887, 1867, 291, 16
495, 1781787697423772256, 2217, 291, 88
496, 1781787697429498392, 2168, 291, 343
497, 1781787697435155566, 2162, 291, 279
498, 1781787697442301796, 1898, 291, 17
499, 1781787697448305170, 1977, 318, 17
500, 1781787697454184183, 2073, 290, 16
501, 1781787697461003759, 2257, 289, 16
502, 1781787697466613438, 2076, 291, 216
503, 1781787697472939817, 2153, 292, 339
504, 1781787697479267918, 2150, 290, 283
505, 1781787697484913418, 1885, 291, 17
506, 1781787697492140547, 2184, 291, 17
507, 1781787697498140073, 1973, 289, 14
508, 1781787697504020372, 2217, 293, 80
509, 1781787697510893095, 2158, 290, 337
510, 1781787697516485601, 2161, 290, 280
511, 1781787697522900617, 1871, 292, 16
512, 1781787697529066297, 2109, 290, 17
513, 1781787697534684161, 1895, 289, 16
514, 1781787697541915921, 2276, 291, 16
515, 1781787697547936278, 2113, 291, 75
516, 1781787697553921948, 2223, 289, 343
517, 1781787697560812317, 2204, 290, 280
518, 1781787697566440153, 1997, 325, 16
519, 1781787697572866141, 2099, 291, 17
520, 1781787697579239157, 2247, 292, 16
521, 1781787697584822173, 2074, 290, 201
522, 1781787697591970514, 2180, 290, 350
523, 1781787697597957538, 2132, 291, 281
524, 1781787697603834032, 1875, 290, 16
525, 1781787697610746399, 2139, 290, 17
526, 1781787697616380208, 2070, 292, 13
527, 1781787697622743851, 2226, 291, 84
528, 1781787697629113367, 1909, 292, 77
529, 1781787697634709458, 2175, 292, 279
530, 1781787697641906951, 2146, 293, 280
531, 1781787697647878397, 2184, 288, 17
532, 1781787697653847262, 1895, 291, 16
533, 1781787697660777394, 2257, 290, 216
534, 1781787697666398939, 1951, 290, 76
535, 1781787697672770688, 1967, 293, 289
536, 1781787697679010458, 2049, 291, 286
537, 1781787697684632713, 1987, 290, 16
538, 1781787697691519816, 2125, 291, 17
539, 1781787697697243987, 1960, 289, 17
540, 1781787697702872993, 2097, 293, 216
541, 1781787697710247490, 1905, 292, 338
542, 1781787697716135296, 2073, 290, 281
543, 1781787697722385841, 1890, 291, 18
544, 1781787697728763085, 2114, 290, 16
545, 1781787697734372133, 1864, 290, 16
546, 1781787697741117520, 2240, 292, 78
547, 1781787697747151178, 2169, 289, 346
548, 1781787697753054788, 2146, 290, 289
549, 1781787697759925105, 1900, 290, 16
550, 1781787697765558796, 2097, 290, 17
551, 1781787697771681438, 1906, 290, 16
552, 1781787697778222656, 2268, 290, 17
553, 1781787697783840751, 2065, 292, 87
554, 1781787697790569677, 1981, 291, 345
555, 1781787697796579284, 2102, 291, 277
556, 1781787697802405292, 1898, 290, 16
557, 1781787697809306071, 2123, 290, 16
558, 1781787697814967205, 1952, 290, 14
559, 1781787697821035078, 2182, 292, 217
560, 1781787697827851067, 1946, 290, 351
561, 1781787697833482461, 2059, 288, 287
562, 1781787697839846246, 1856, 291, 16
563, 1781787697845926730, 2133, 288, 16
564, 1781787697851540049, 1880, 293, 17
565, 1781787697858668285, 2247, 289, 207
566, 1781787697864668920, 2157, 292, 348
567, 1781787697870539314, 2193, 290, 279
568, 1781787697877442167, 1870, 292, 16
569, 1781787697883101304, 1971, 320, 21
570, 1781787697889508558, 2086, 289, 16
571, 1781787697895762748, 1996, 290, 16
572, 1781787697901374567, 2237, 293, 84
573, 1781787697908437183, 2181, 291, 346
574, 1781787697914481579, 2151, 290, 278
575, 1781787697920320906, 1879, 292, 17
576, 1781787697927181929, 2147, 291, 16
577, 1781787697932796299, 1881, 290, 17
578, 1781787697939118508, 2244, 291, 213
579, 1781787697945726456, 2175, 290, 350
580, 1781787697951310534, 2167, 291, 283
581, 1781787697958156428, 1904, 289, 16
582, 1781787697963898631, 2107, 287, 17
583, 1781787697969517450, 1899, 290, 17
584, 1781787697976758038, 2253, 290, 16
585, 1781787697982706633, 2304, 293, 338
586, 1781787697988789491, 2192, 291, 354
587, 1781787697995616609, 1873, 290, 16
588, 1781787698001188119, 1884, 290, 17
589, 1781787698007907890, 2119, 289, 16
590, 1781787698013660640, 2031, 291, 14
591, 1781787698019309243, 2229, 291, 82
592, 1781787698026474755, 2188, 289, 354
593, 1781787698032495347, 2156, 291, 279
594, 1781787698038454981, 1905, 290, 16
595, 1781787698045428736, 2118, 289, 16
596, 1781787698051007067, 1858, 291, 16
597, 1781787698057681927, 2261, 291, 17
598, 1781787698063442603, 2076, 291, 206
599, 1781787698069118722, 2199, 291, 341
